,text,translation,sentiment,label
81,@gaydinosticker i’m posting your address,@gaydinosticker estoy publicando tu dirección,0.0467367419371013,esfj
82,my twelve year old sister bought this how is she real,mi hermana de doce años compró esto ¿cómo es real,0.2764572276844072,esfj
83,@honeypaimon ofc i’m very proud of you!!,@honeypaimon ofc ¡¡estoy muy orgulloso de ti!!,0.4026076894077114,esfj
84,@honeypaimon slay!,¡@honeypaimon slay!,0.4978922592055748,esfj
85,me and that’s why i watch playthroughs,yo y por eso veo playthroughs,0.0017822947976142,esfj
86,those “nooo little german boy” memes are literally just momiji,"esos memes de ""nooo niñito aleman"" son literalmente solo momiji",0.0651244479594792,esfj
87,horrible idea to tweet this bc every time i got a notif someone liked this i think she saw,horrible idea para twittear esto bc cada vez que tengo un notif alguien le gusta esto creo que vio,2.6719358592353126e-10,esfj
88,@neopetscafe IVE HAD ITTT,@neopetscafe HE TENIDO ITTT,0.0874780616024537,esfj
89,going over to a pretty girls house today wish me luck,hoy voy a casa de una chica guapa deseame suerte,0.0038666575616828,esfj
90,someone bought me the first volume in november and i liked it but i just never read more and now i’m watching the anime and it’s so good,alguien me compro el primer volumen en noviembre y me gusto pero nunca lei mas y ahora estoy viendo el anime y es tan bueno,5.438719742468277e-05,esfj
91,entering my horimiya era (probably not actually),entrando en mi era horimiya (probablemente no en realidad),0.0033431990296773,esfj
92,oh i’m gonna be ill,oh voy a estar enfermo,0.2800424715463068,esfj
93,i can’t tell if i want to be with miyamura or just be him,no puedo decir si quiero estar con miyamura o simplemente ser él,0.0081422605998733,esfj
94,@ieiridose she’s silly!,@ieiridose ¡es tonta!,0.5159436667231726,esfj
95,i love the little lesbian in horimiya,me encanta la pequeña lesbiana de horimiya,0.9457885279415732,esfj
96,@elra4Iifer ummm i’m literally a minor,@elra4Iifer ummm soy literalmente menor de edad,0.1126033927960939,esfj
97,@elra4Iifer I think that’s called aging. you fossil,@elra4Iifer creo que eso se llama envejecer. tú fósil,0.0106560559886555,esfj
98,yato and hiyori is so hananene vibes,yato y hiyori es tan hananene vibes,0.22494129254181,esfj
99,@fleetwoodmac___ say sike i’m gonna be ill,@fleetwoodmac___ di sike voy a estar enfermo,0.0897158035781742,esfj
100,do people even care about the theme anymore bc wtf is this,¿a la gente le sigue importando el tema porque que es esto?,0.0013838891106988,esfj
101,LETS SHAKE THIS POET OUT OF THE BEAST 🤣🤣🤣🤣 /ly,QUITEMOS A ESTE POETA DE LA BESTIA 🤣🤣🤣🤣 /ly,0.7016748507246353,esfj
102,https://t.co/j1RRypwJCU,https://t.co/j1RRypwJCU,0.4978922592055748,esfj
103,nothing and i mean NOTHING will top heavenly bodies. i remember seeing it and losing my mind because everyone just…,nada y me refiero a NADA superará a los cuerpos celestes. recuerdo haberlo visto y perder la cabeza porque todo el mundo...,0.0002882678506726,esfj
104,the met gala has gotten worse and worse with every year since 2018,la gala met ha ido a peor cada año desde 2018,0.000300343356454,esfj
105,posted this on insta but,posted this on insta but,0.4978922592055748,esfj
106,havent kept up with bsd in a while but rip chuuya ig ?,no me he mantenido al día con bsd en un tiempo pero rip chuuya ig ?,0.0006907397252685,esfj
107,i’m just like sasaki shuumei but lesbian,Soy como Sasaki Shuumei pero lesbiana.,0.0931578317457195,esfj
108,@elra4Iifer EVERY PAIRING HAS ITS GOODD AND BADS,@elra4Iifer CADA PAREJA TIENE SUS BUENOS Y MALOS,0.0018040414935887,esfj
109,@elra4Iifer that is true! proud of you,@elra4Iifer eso es verdad! orgulloso de ti,0.0389325903281306,esfj
110,@elra4Iifer DO NOT FRET!,@elra4Iifer ¡NO TE PREOCUPES!,0.0530893867088632,esfj
111,@elra4Iifer WHAT DOES THAT HAVE TO DO WITH ANYTHING,@elra4Iifer ¿QUÉ TIENE ESO QUE VER CON NADA?,0.0039704568606043,esfj
112,@elra4Iifer Pretty Well,@elra4Iifer Pretty Well,0.4978922592055748,esfj
113,@elra4Iifer the only problem is that youll either empathize with each other or the fact that you could be similar t…,@elra4Iifer el único problema es que o empatizáis entre vosotros o el hecho de que podáis ser parecidos t...,0.0023641950648821,esfj
114,@elra4Iifer JK. it’s alright i think signs of the same element usually work well together,@elra4Iifer JK. no pasa nada creo que los signos del mismo elemento suelen funcionar bien juntos,0.000471258117731,esfj
115,@elra4Iifer can you shut the fuck up lesbian,@elra4Iifer puedes cerrar la puta boca lesbiana,0.6024597874915946,esfj
116,i feel like pisces and gemini is such an interesting combo it’s a complete hit or miss,me siento como piscis y géminis es una combinación tan interesante que es un completo éxito o se pierda,0.009793018808426,esfj
117,i feel like i always need to have a comical little arrow pointing at me that says “idiot”,"siento que siempre necesito tener una flechita cómica apuntándome que diga ""idiota""",0.0124917651229309,esfj
118,this is fire force???,¿esto es fuerza de fuego?,0.0856804105207424,esfj
119,sadly @elra4Iifer,tristemente @elra4Iifer,0.4978922592055748,esfj
120,@yourmomclaper me,@yourmomclaper me,0.2341535499482092,esfj
121,i would kill myself for yashiro nene,me mataría por yashiro nene,0.2301240913224095,esfj
122,@tsulizs they hated us they really did every time i remember that happened i giggle a bit,@tsulizs nos odiaban de verdad cada vez que lo recuerdo me entra la risa floja,0.0055903219240958,esfj
123,@aesthana_7 this is my favorite photo ever actually,@aesthana_7 esta es mi foto favorita en realidad,0.0050425404476708,esfj
124,@elra4Iifer putting your triple threat to WORK,@elra4Iifer poniendo su triple amenaza a TRABAJAR,0.5510815808838738,esfj
125,@elra4Iifer she’s just like me fr,@elra4Iifer ella es como yo fr,0.023511392761477,esfj
126,@elra4Iifer brooke seems like such a fun role whipped into shape is &gt;&gt;&gt;,@elra4Iifer brooke parece tan divertido papel azotado en forma es &gt;&gt;&gt;,0.0168550631496294,esfj
127,@elra4Iifer DAMN WANT ME TO SAY UR ELLE?,@elra4Iifer ¿QUIERES QUE TE DIGA QUE ERES ELLE?,0.009593505249949,esfj
128,@elra4Iifer you would be a good vivian idk why you just remind me of her (brunette bitch),@elra4Iifer tu serias una buena vivian idk por que solo me recuerdas a ella (perra morena),0.0001908700058423,esfj
129,townie is hitting different rn,townie está golpeando diferente rn,0.6464089511590307,esfj
130,i know i’m a raging lesbian but ROSS LYNCH,sé que soy una lesbiana furiosa pero ROSS LYNCH,0.0164130079029908,esfj
131,it should’ve ended after tenjiku i don’t give a FUCK about mikey,que debería haber terminado después de tenjiku no me importa una mierda sobre Mikey,2.595668256417925e-07,esfj
132,good morning happy lesbian day of visibility to my fellow lesbians i love you all!!,buenos días feliz día de la visibilidad lésbica a mis compañeras lesbianas ¡¡¡os quiero a todas!!!,0.0069745436336414,esfj
133,ok there’s probably crazier things that i can’t think of. i just hate bugs,ok probablemente hay cosas mas locas que no se me ocurren. solo odio los bichos,3.251211705799524e-06,esfj
134,i should probably add that i go to school for cosmetology,probablemente debería añadir que voy a la escuela de cosmetología,0.0124211904437367,esfj
135,there have been at least 2 termite infestations in the salon,ha habido al menos 2 infestaciones de termitas en el salón,0.3034855124141249,esfj
136,nobara kugisaki,nobara kugisaki,0.4978922592055748,esfj
137,@honeypaimon idk what or who is looking out for my safety but i thank them very much,@honeypaimon no se que o quien vela por mi seguridad pero se lo agradezco mucho,1.0456258896936382e-05,esfj
138,yesterday me and my sister were about to walk to starbucks but as soon as i was putting my shoes on my neighbor tex…,"ayer yo y mi hermana estaban a punto de caminar a Starbucks, pero tan pronto como yo estaba poniendo mis zapatos en mi vecino tex...",1.7345136282024356e-05,esfj
139,@transIeorio lesbian day of visibility is the 26th,@transIeorio el día de la visibilidad lésbica es el 26,0.2597368382436282,esfj
140,LESBIAN DAY IN 2 DAYS ???,DÍA DE LESBIANAS EN 2 DÍAS ????,0.3463479041230872,esfj
141,it’s almost may you know what that means… jjk and listening to lush on repeat,es casi mayo sabes lo que eso significa... jjk y escuchando a lush en repetición,0.0087504259987208,esfj
142,mikey twin,mikey twin,0.4978922592055748,esfj
143,it’s official i’m a certified moped driver,es oficial soy un conductor de ciclomotor certificado,0.199431279534927,esfj
144,@honeypaimon GRINDSET,@honeypaimon GRINDSET,0.4978922592055748,esfj
145,my 12 year old sister is a victim of grind culture,mi hermana de 12 años es víctima de la cultura de la molienda,0.1603874352686054,esfj
146,i think 271 may just be the best tritype ever,creo que el 271 puede ser el mejor tritype de la historia,0.0013223957934026,esfj
147,i love a series  filled with pop culture references,me encantan las series llenas de referencias a la cultura pop,0.2815160794688309,esfj
148,me and my friends all agreed to wear merch of some sort today so i’m wearing my dtk necklace for the first time since last year,"mis amigos y yo nos hemos puesto de acuerdo en llevar algún tipo de merch hoy, así que llevo mi collar de dtk por primera vez desde el año pasado.",1.718753206127801e-06,esfj
149,@MinionIuvr69 CONGRATSSS,@MinionIuvr69 FELICIDADES,0.4978922592055748,esfj
150,this photo feels like an exaggeration but this was definitely a problem nonetheless like i was STRESSED a girl just…,esta foto se siente como una exageración pero esto era definitivamente un problema no obstante como yo estaba ESTRESADO una chica sólo...,1.1669271971884656e-05,esfj
151,su was one of the first fandoms i was ever in and when i tell you this had them HEATED in 2016,su fue uno de los primeros fandoms que alguna vez estuve en y cuando te digo esto los tenía HEATED en 2016,3.785822904968456e-05,esfj
152,@elra4Iifer @gaydinosticker just looking through yukinas wiki (daily ritual) and i see this queeah activity 😞,@elra4Iifer @gaydinosticker justo mirando por yukinas wiki (ritual diario) y veo esta actividad queeah 😞,0.0664111531005557,esfj
153,@elra4Iifer @gaydinosticker do you guys see this.,@elra4Iifer @gaydinosticker ¿ustedes ven esto.,0.2369710931082333,esfj
154,oh my god,oh dios mio,0.1902468900431735,esfj
155,refer to my bio,consulte mi biografía,0.3672829101996748,esfj
156,@notosgirl roland my scrongle,@notosgirl roland mi scrongle,0.3672829101996748,esfj
157,@notosgirl YEAH BESIDES HIM,@notosgirl YEAH BESIDES HIM,0.4978922592055748,esfj
158,@notosgirl no joke i blind picked these ❤️❤️,@notosgirl no es broma elegí a ciegas estos ❤️❤️,0.0003077035897897,esfj
159,@notosgirl fair. I THOUGHT YOU LIKED HIM THOUGH,@notosgirl justo. PENSÉ QUE TE GUSTABA SIN EMBARGO,0.0035504925154473,esfj
160,@notosgirl the way i threw together a random assortment of my camera roll,@notosgirl la forma en que me tiró juntos un surtido aleatorio de mi rollo de la cámara,0.0173597735003144,esfj
161,@notosgirl goats?,¿Cabras @notosgirl?,0.4978922592055748,esfj
162,the fact that it was posted on my little sisters birthday does not help either 😞,el hecho de que se publicara el día del cumpleaños de mi hermana pequeña tampoco ayuda 😞,6.859752206145602e-05,esfj
163,https://t.co/quCBavN8Qe not a day goes by where i don’t think of this edit,https://t.co/quCBavN8Qe no pasa un día sin que piense en esta edición,0.0050158869564879,esfj
164,@elra4Iifer STOP,@elra4Iifer STOP,0.4978922592055748,esfj
165,apparently the creator of pmmm said kyoko and sayaka are soulmates are 😭 you 😭 kidding 😭,aparentemente el creador de pmmm dijo que kyoko y sayaka son almas gemelas estas 😭 estas 😭 bromeando 😭,0.0005637486439037,esfj
166,@MinionIuvr69 i’ve seen mitski that’s it,@MinionIuvr69 he visto mitski eso es todo,0.0020238828085103,esfj
167,@kuraify your brain is so fucking huge thank you,@kuraify tu cerebro es jodidamente enorme gracias,0.4391952381167503,esfj
168,@sawakoist you get it,@sawakoist lo tienes,0.3225317877149182,esfj
169,god bless,que dios te bendiga,0.0504749235895899,esfj
170,@elra4Iifer I WILL,@elra4Iifer I WILL,0.4978922592055748,esfj
171,@elra4Iifer WORD OK.,@elra4Iifer WORD OK.,0.4978922592055748,esfj
172,the day i get any roselia four star…,el día que consiga cualquier Roselia cuatro estrellas...,0.025790542694419,esfj
173,@elra4Iifer SAME USUALLY I GET NOTHING IM SO HAPPY,@elra4Iifer LO MISMO SIEMPRE NO RECIBO NADA ESTOY TAN FELIZ,0.0025455101020364,esfj
174,@elra4Iifer I DID 2 TEN PULLS,@elra4Iifer HICE 2 DIEZ PULLS,0.0823697282718964,esfj
175,first four stars i’m a proud mother,primeras cuatro estrellas soy una madre orgullosa,0.0142086447073029,esfj
176,@honeypaimon @elra4Iifer WHAT IS YOUR ISSUE,@honeypaimon @elra4Iifer ¿CUÁL ES SU TEMA?,0.1923974123350856,esfj
177,@honeypaimon @elra4Iifer insane. as a treat,@honeypaimon @elra4Iifer loco. como un regalo,0.3095888278947435,esfj
178,@elra4Iifer using my pointers makes me feel like an ipad kid nvm,@elra4Iifer usar mis punteros me hace sentir como un niño ipad nvm,0.0821613149680575,esfj
179,@elra4Iifer CRYING SHAKING SOBBING,@elra4Iifer CRYING SHAKING SOBBING,0.4978922592055748,esfj
180,@elra4Iifer @honeypaimon EEEEUEYEUEUEEEUEUEUEEUEUEU,@elra4Iifer @honeypaimon EEEEUEYEUEUEEEUEUEUEUEUEU,0.4978922592055748,esfj
181,@honeypaimon @elra4Iifer BUT IM SO MUCH BETTER AT IT,@honeypaimon @elra4Iifer PERO YO SOY MUCHO MEJOR EN ESO,0.0073599704383897,esfj
182,@honeypaimon @elra4Iifer you cannot do this to me,@honeypaimon @elra4Iifer no puedes hacerme esto,0.0609473484423416,esfj
183,@elra4Iifer I TRUED AND THIS IS WHAT HAPPENED.,@elra4Iifer YO TRUQUE Y ESTO ES LO QUE PASÓ.,0.000165304698537,esfj
184,@elra4Iifer ………………………,@elra4Iifer ...........................,0.4978922592055748,esfj
185,back on the bandori grind,de vuelta a la rutina de bandori,0.5732288596133172,esfj
186,you go look at the posts he's been tagged in and you find out far too much about him,vas a mirar los posts en los que ha sido etiquetado y descubres demasiado sobre él,0.0008988004500381,esfj
187,oh there would be no secrets,oh no habría secretos,0.0231201431840423,esfj
188,@goblinonmain exactly,@goblinonmain exactamente,0.4372371996426999,esfj
189,haeil posting this okay but it's been 290 days since you've released music,haeil postear esto esta bien pero hace 290 dias que no sacas musica,7.659936736111014e-05,esfj
190,@BOABRATZ absolutely not,@BOABRATZ absolutamente no,0.2193379952383486,esfj
191,LOU TRYING TO CALL ME A WOOKJIN ANTI??,¿INTENTAS LLAMARME ANTI WOOKJIN?,0.3550949668216105,esfj
192,my manager getting all the kids to work in the cafe today was a mistake not because anything went wrong but because…,mi jefe hacer trabajar hoy a todos los niños en la cafetería ha sido un error no porque haya salido algo mal sino porque...,1.0785303673019839e-10,esfj
193,kyubin nocturnal??,¿Kyubin nocturno?,0.4978922592055748,esfj
194,waiting to be disappointed yass,esperando ser decepcionado yass,0.0042871466174806,esfj
195,@carminet024 OH MY GOD??,@carminet024 ¿¿OH DIOS MIO???,0.1902468900431735,esfj
196,everyone having the same thought about savanna kkyu I see,todo el mundo tiene el mismo pensamiento sobre savanna kkyu veo,0.1587442431360111,esfj
197,(sidenote we used to hate each other and idk if they know I'm me because I changed my name and @ since then lmfao),(nota al margen que solíamos odiarnos y idk si saben que soy yo porque he cambiado mi nombre y @ desde entonces lmfao),4.6181815654897843e-07,esfj
198,now that's one I haven't seen in a long time,ahora que es uno que no he visto en mucho tiempo,7.029589960703003e-06,esfj
199,the collective collapse,el colapso colectivo,0.6959812013526472,esfj
200,wook kyu yeob boxing video when,wook kyu yeob video de boxeo cuando,0.2385550007655686,esfj
201,no teasers but every preorder site in existence including ones that count for billboard??,"no hay teasers pero todos los sitios de prepedidos que existen, incluidos los que cuentan para billboard?",0.0079841035803625,esfj
202,taeyeob boxing .,taeyeob boxeo .,0.4978922592055748,esfj
203,MILL IN THE STUDIO??,¿MOLINO EN EL ESTUDIO?,0.7656678166841735,esfj
204,@carminet024 me with pink rie,@carminet024 yo con rie rosa,0.2499381338989244,esfj
205,@carminet024 listen,@carminet024 escucha,0.4978922592055748,esfj
206,american surprised that american products aren't universal,americano sorprendido de que los productos americanos no sean universales,0.0053490260705119,esfj
207,oh I got so badly sunburnt it's embarrassing,"Oh, me quemé tanto con el sol que es vergonzoso.",0.6151988133345104,esfj
208,kyubin,kyubin,0.4978922592055748,esfj
209,@seouIsonyo i don't 😭😭 one time i read part of it for idk what reason but hhhh,@seouIsonyo yo no 😭😭 una vez lei una parte por idk que razon pero hhhh,0.0021610834214679,esfj
210,@seouIsonyo do i have to read the bible again,@seouIsonyo ¿tengo que leer la biblia otra vez?,0.0486970576699851,esfj
211,@seouIsonyo SO THATS WHY ANGEL CONNECTS TO SAVANNA AND SAGE,@seouIsonyo POR ESO ANGEL SE CONECTA CON SAVANNA Y SAGE,0.0160291371954093,esfj
212,@nagongie omg tell me if it's good,@nagongie omg dime si es bueno,0.1590370659966754,esfj
213,@OnlyOneOfmember MY BELOVEDS,@OnlyOneOfmember MIS AMADOS,0.4171084832741637,esfj
214,im on a train in england that's so fun I'm only used to the long distance trains in portugal,estoy en un tren en inglaterra que es tan divertido solo estoy acostumbrado a los trenes de larga distancia en portugal,0.9552565573510748,esfj
215,looking at photos of yeob with brown hair and photos of sungho with black hair evoke the same reaction in me,ver fotos de yeob con el pelo castaño y fotos de sungho con el pelo negro evocan la misma reacción en mí.,0.0002069497775577,esfj
216,with absolutely no company promotion whatsoever??,sin ningún tipo de promoción por parte de la empresa??,0.0050396305149044,esfj
217,@nagongie is it the earl grey one,@nagongie es el earl grey uno,0.5887757711588412,esfj
218,@seouIsonyo U GET ITTTTT,@seouIsonyo U GET ITTTTT,0.4978922592055748,esfj
219,@fluffyeobie yeah i do !!,@fluffyeobie ¡¡¡Sí y hazlo!!!,0.3969751019913017,esfj
220,"@mxi_mp3 ohh yeah I'll check there when it's out, tysm 😭😭","@mxi_mp3 ohh sí voy a ver ahí cuando salga, tysm 😭😭😭",0.0383905982123463,esfj
221,@mxi_mp3 me pretending my minimum wage job is gonna get me anywhere in this whole thing anyways,@mxi_mp3 que yo pretenda que mi trabajo de salario mínimo me va a llevar a ninguna parte en todo esto de todos modos,3.49721397902783e-07,esfj
222,@mxi_mp3 oh im gonna have hell collecting pobs for this aren't i,@mxi_mp3 oh voy a tener el infierno recogiendo pobs para esto no soy yo,0.0010040753772251,esfj
