,text,label,translation
98,Excellent.  Thanks! @DHSgov,estj,Excelente.  ¡Gracias! @DHSgov
99,I’d like to talk about this though.   There are people in their 80s in Congress and Joe would be 80. I know you hav…,estj,Pero me gustaría hablar de esto.   Hay gente de 80 años en el Congreso y Joe tendría 80. Sé que ha...
100,So no.  Tim Allen played a doll. This is the astronaut and no one does American hero like @ChrisEvans also I lived…,estj,Así que no.  Tim Allen hizo de muñeco. Este es el astronauta y nadie hace de héroe americano como @ChrisEvans además viví....
101,@FlorioWilkes The Essex serpent,estj,@FlorioWilkes La serpiente de Essex
102,How deeply was Jordan involved in the coup?,estj,¿Hasta qué punto estuvo Jordania implicada en el golpe?
103,@RoryFly48410259 Lolol,estj,@RoryFly48410259 Lolol
104,@MarkIKendrick And that’s the entire problem.,estj,@MarkIKendrick Y ese es todo el problema.
105,Herschel Walker invented the telephone,estj,Herschel Walker inventó el teléfono
106,@toonedin @SoSofieFatale No but there’s a lot of conjecture that there’s new evidence to edit and add in,estj,@toonedin @SoSofieFatale No pero hay muchas conjeturas de que hay nuevas pruebas que editar y añadir
107,@BrendanMcP Congrats Brendan -go get ‘em,estj,@BrendanMcP Felicidades Brendan - a por ellos
108,@nihil_ad_rem Roku and Hulu live,estj,@nihil_ad_rem Roku y Hulu en directo
109,Anytime I see a stupid headline coming out of CNN I know before I open the article that Cizzilla wrote it.,estj,Cada vez que veo un titular estúpido de la CNN sé antes de abrir el artículo que lo ha escrito Cizzilla.
110,@darkman1558 Good Lord there is not enough room in all of Twitter for me to start apologizing for white peeps.,estj,@darkman1558 Dios santo no hay espacio suficiente en todo Twitter para que empiece a disculparme por los peeps blancos.
111,"@va_cc11 That was early Sorkin, yes?",estj,"@va_cc11 Eso fue temprano Sorkin, ¿no?"
112,@TheStefanSmith I liked the Essex Serpent on Apple and it’s only six episodes,estj,@TheStefanSmith a mi me gustó la Serpiente de Essex en Apple y solo son seis episodios
113,@AVindman Has anyone heard from his wife?,estj,@AVindman ¿Alguien sabe algo de su mujer?
114,Uh oh,estj,Uh oh
115,@maggieNYT @jonathanvswan Why? Are they saying they are surprised at the grift? Give me a break.,estj,@maggieNYT @jonathanvswan ¿Por qué? ¿Están diciendo que están sorprendidos por la estafa? Dame un respiro.
116,When you see awful stuff happening and just say well im not them  YOU ARE THE PROBLEM,estj,Cuando ves que pasan cosas horribles y solo dices bueno yo no soy ellos TU ERES EL PROBLEMA
117,@WendyCerne We do.,estj,@WendyCerne Lo hacemos.
118,Duck this @leezeldin you asshole,estj,Esquiva esto @leezeldin imbécil
119,Yeah and what’s your policy  fix?,estj,"Sí, ¿y cuál es tu política fija?"
120,@WendyCerne No she is saying it’s premature,estj,@WendyCerne No ella está diciendo que es prematuro
121,They always knee jerk the short term.,estj,Siempre se dejan llevar por el corto plazo.
122,@WendyCerne @POTUS @WHCOS @WHCommsDir Maybe twirl the DPA,estj,@WendyCerne @POTUS @WHCOS @WHCommsDir Tal vez girar el DPA
123,This cracks me up.,estj,Me parto de risa.
124,Well yeah.  He was a yes man for Trump,estj,Pues sí.  Él era un hombre sí para Trump
125,Pretty sure Meadows pocket.,estj,Bastante seguro Meadows bolsillo.
126,@WendyCerne @POTUS @WHCOS @WHCommsDir I wonder if Biden has called the execs in for a good yelling.  He should.,estj,@WendyCerne @POTUS @WHCOS @WHCommsDir Me pregunto si Biden habrá llamado a los ejecutivos para gritarles.  Debería hacerlo.
127,@BenevolusPF @January6thCmte I thought so too.,estj,@BenevolusPF @January6thCmte Yo también lo pensaba.
128,@WendyCerne I think Zoe is also very effective,estj,@WendyCerne Creo que Zoe también es muy eficaz
129,Wow the money flow and where it went is nuts.,estj,Wow el flujo de dinero y donde se fue es una locura.
130,@mom_springer @RonFilipkowski Since when does the BP host someone who isn’t a currently elected official?,estj,@mom_springer @RonFilipkowski ¿Desde cuándo el BP recibe a alguien que no es un funcionario electo actualmente?
131,Would anyone use a Trump “Airbnb”? Trailers galore lol,estj,"¿Utilizaría alguien un ""Airbnb"" de Trump? Trailers en abundancia lol"
132,If I had a nickel for every former Trump official who is trying to cleanse our memories I’d be sailing to Fiji righ…,estj,Si tuviera cinco centavos por cada ex funcionario de Trump que está tratando de limpiar nuestros recuerdos estaría navegando a Fiji justo....
133,@LoganR2WH @AndyHarrisFan I’d be doing an Irish jig if Masters got the nod.  Much easier for Kelly,estj,@LoganR2WH @AndyHarrisFan Estaría haciendo una giga irlandesa si Masters consiguiera el guiño.  Mucho más fácil para Kelly
134,Ok. Trump predicted this most likely because his financial team told him it was coming.  If he were still President…,estj,De acuerdo. Trump predijo esto muy probablemente porque su equipo financiero le dijo que vendría.  Si todavía fuera presidente...
135,Lol this picture is perfect for him.,estj,Lol esta foto es perfecta para él.
136,So far I have been really impressed with the hearings.  Bravo @January6thCmte,estj,Hasta ahora me han impresionado mucho las audiencias.  Bravo @January6thCmte
137,@chefjoseandres @Bazaarbyjose @WaldorfAstoria @cgi_mg OMG YES!,estj,¡@chefjoseandres @Bazaarbyjose @WaldorfAstoria @cgi_mg OMG YES!
138,It’s about time.,estj,Ya era hora.
139,@va_cc11 Another Monday on the beltway. I don’t miss that.,estj,@va_cc11 Otro lunes en la circunvalación. Eso no me lo pierdo.
140,@MeerkatsRMammal @mom_springer Actually I think he is married but after the Bridget Kelly thing probably likes to k…,estj,@MeerkatsRMammal @mom_springer En realidad creo que está casado pero después de lo de Bridget Kelly probablemente le guste k....
141,@mom_springer Ah - well yep that will do it,estj,@mom_springer Ah - bueno sí que lo hará
142,And what’s your plan? Because I don’t see your party having one.,estj,¿Y cuál es tu plan? Porque no veo que tu partido tenga uno.
143,Hmmm Stepien a no show.,estj,Hmmm Stepien no aparece.
144,@petermarksdrama Yes!,estj,@petermarksdrama ¡Sí!
145,@kmk1072 Same,estj,@kmk1072 Igual
146,Why the fuck are you all so obsessed over this? Did you send that guy there?,estj,¿Por qué coño estáis todos tan obsesionados con esto? ¿Enviaste a ese tipo allí?
147,@patriottakes @FBI,estj,@patriottakes @FBI
148,@davidoyoung I have heard so many stories I am not a fan of hers personally.,estj,@davidoyoung he escuchado tantas historias que personalmente no soy fan de ella.
149,By the way if you have never seen company I recommend.  It’s existential human experience.  It shifted my view.,estj,Por cierto si nunca has visto company te la recomiendo.  Es la experiencia humana existencial.  Cambió mi punto de vista.
150,I love and will always love the Tonys.,estj,Me encantan y siempre me encantarán los Tonys.
151,@ellemc63 Most likely it was just someone not paying attention but yes it stings,estj,@ellemc63 Lo más probable es que fuera alguien que no prestó atención pero sí que escuece
152,Good looks @GregAbbott_TX you fucker.,estj,Buena pinta @GregAbbott_TX cabrón.
153,@Geniusbastard Oh I will try to see it now.,estj,@Geniusbastard Oh voy a tratar de verlo ahora.
154,So glad to see Billy Crystal Better.,estj,Me alegra ver mejor a Billy Crystal.
155,@WFKARS Straight mom too :),estj,@WFKARS Mamá heterosexual también :)
156,Duh.  Of course there is.  Will he be indicted. Idk,estj,Claro.  Por supuesto que lo hay.  ¿Será acusado? Idk
157,Ok bravo to her but it’s hard to lose with Company.  It’s brilliant and subtle and loud and complicated and simple.,estj,"Vale, bravo por ella, pero es difícil perder con Company.  Es brillante y sutil y ruidoso y complicado y simple."
158,In six days I will touch sand and water at the same time and I already know how healing it will be.  The tides tell the truth.,estj,Dentro de seis días tocaré la arena y el agua al mismo tiempo y ya sé lo curativo que será.  Las mareas dicen la verdad.
159,@VABVOX I ignore her.,estj,@VABVOX La ignoro.
160,My Disney kin list! https://t.co/TdNYTbI9mt,estj,Mi lista de Disney! https://t.co/TdNYTbI9mt
161,@uvonaga So epic!,estj,@uvonaga ¡Tan épico!
162,@uvonaga Thanks corv! We did 😋,estj,@uvonaga ¡Gracias corv! Lo hicimos 😋
163,Happy pride! 🫶🏻,estj,¡Feliz orgullo! 🫶🏻
164,@BUDGERlGARS Tonpa,estj,@BUDGERlGARS Tonpa
165,@novasroses Iron on pride patches!,estj,@novasroses ¡Parches del orgullo de hierro!
166,💜🧡💖,estj,💜🧡💖
167,Um them??? https://t.co/2JTqwttOKi,estj,Um ellos??? https://t.co/2JTqwttOKi
168,Where’s legally blonde???,estj,¿Dónde está la rubia legal?
169,@uvonaga I’m so cool for having the same birth year as shrek,estj,@uvonaga soy tan guay por tener el mismo año de nacimiento que shrek
170,@zZzchoso Good luck!!!,estj,@zZzchoso ¡¡¡Buena suerte!!!
171,You need new friends,estj,Necesitas nuevos amigos
172,Of course the one time I actually go on the discord happens to be when we’re talking about how awesome Bisky is-,estj,"Por supuesto, la única vez que entro en la discordia es cuando estamos hablando de lo increíble que es Bisky..."
173,Real for one person,estj,Real para una persona
174,The blocked to on my favorite mutuals list pipeline,estj,La tubería bloqueada en mi lista de mutuas favoritas
175,@yerbainthealps I call dunkin lesbian doughnuts,estj,@yerbainthealps yo llamo a dunkin donuts lesbianas
176,@tomoyo_pocoyo Thank you so much! 🫶🏻,estj,@tomoyo_pocoyo ¡Muchas gracias! 🫶🏻
177,Also!! https://t.co/H8tlIik0EZ,estj,También!! https://t.co/H8tlIik0EZ
178,Picture of Barbie and Ken in the upcoming Barbie movie!,estj,¡Foto de Barbie y Ken en la próxima película de Barbie!
179,@OatsxHunter Pariston because when I see tweets I just imagine it’s the person in the pfp tweeting,estj,@OatsxHunter Pariston porque cuando veo tuits me imagino que es la persona del pfp tuiteando
180,@kiIIugoners Gorgeous!,estj,@kiIIugoners ¡Precioso!
181,@love4xielian &lt;3,estj,@love4xielian &lt;3
182,And &lt;3,estj,Y &lt;3
183,Here’s more https://t.co/Sjb8zrFeyB,estj,Más información en https://t.co/Sjb8zrFeyB
184,@lumoskywalker Thank you!! They’re both just like me 😋,estj,¡¡¡@lumoskywalker Gracias!!! Los dos son como yo 😋
185,@kurtasdoll Thank you!,estj,@kurtasdoll ¡Gracias!
186,My kins but live action only 🙅🏼‍♀️,estj,"Mis parientes, pero sólo de acción en vivo 🙅🏼‍♀️"
187,And bedtime bear &lt;3,estj,Y la hora de dormir oso &lt;3
188,Also vanellope but her color scheme doesn’t match :(,estj,También vanellope pero su combinación de colores no coincide :(
189,Pride flag 🙈,estj,Bandera del orgullo 🙈
190,Kin list reveal 🧡💖💜,estj,Kin list reveal 🧡💖💜
191,@solarprincessxo 😵‍💫👎🏻,estj,@solarprincessxo 😵‍💫👎🏻
192,@buttshoveI I got you bestie! 💪🏻🫶🏻,estj,@buttshoveI ¡Te tengo bestie! 💪🏻🫶🏻
193,@tomoyo_pocoyo We can blame Capricorn moon &amp; rising for buttercup,estj,@tomoyo_pocoyo Podemos culpar a la luna de Capricornio &amp; ascendente por ranúnculo.
194,@tomoyo_pocoyo Yeah,estj,@tomoyo_pocoyo Sí
195,@tomoyo_pocoyo She does have a Leo mars but not much fire,estj,@tomoyo_pocoyo Ella tiene un marte Leo pero no mucho fuego
196,@tomoyo_pocoyo Chart reveal + she’s an estp 7w8,estj,@tomoyo_pocoyo Chart reveal + ella es una estp 7w8
197,@tomoyo_pocoyo No 🙅🏼‍♀️,estj,@tomoyo_pocoyo No 🙅🏼‍♀️
198,@iNootNoot,estj,@iNootNoot
199,@iNootNoot Soooo true!!!,estj,@iNootNoot ¡¡¡Tan cierto!!!
200,@blushplushdoll Hehe thank you!,estj,@blushplushdoll ¡Hehe gracias!
201,Now that strawberry’s all over my tl check out some of my dolls of the little fruity buddies 💪🏻,estj,Ahora que la fresa está en todo mi tl echa un vistazo a algunas de mis muñecas de los pequeños amigos afrutados 💪🏻
202,@lumoskywalker Me!,estj,@lumoskywalker ¡Yo!
203,@lumoskywalker Yep!,estj,@lumoskywalker ¡Sí!
204,@Jjustasimp Yummy 😋,estj,@Jjustasimp Yummy 😋
205,@kiIIugoners Fried,estj,@kiIIugoners Fried
206,@foxxxytocin Love,estj,@foxxxytocin Amor
207,@ANGELWEEPS_ Sexy 😍,estj,@ANGELWEEPS_ Sexy 😍
208,@grlsvapeitbettr You wanna be me sooo bad 🥱 /s,estj,@grlsvapeitbettr You wanna be me sooo bad 🥱 /s
209,@ multiple people,estj,@ varias personas
210,People will literally be like “I wonder if I’m autistic?” meanwhile they have one of them as their pfps 😐,estj,"La gente estará literalmente en plan ""¿me pregunto si seré autista?"" mientras tanto tienen a uno de ellos como pfps 😐"
211,@grlsvapeitbettr Glad to be here!,estj,@grlsvapeitbettr ¡Me alegro de estar aquí!
212,@grlsvapeitbettr Me when you tweet,estj,@grlsvapeitbettr Yo cuando tuitees
213,@grlsvapeitbettr Also we’re mutuals,estj,@grlsvapeitbettr También somos mutuos
214,@grlsvapeitbettr You’re definitely at least one and they typically go to together and the fact that you’re even asking-,estj,@grlsvapeitbettr Definitivamente eres al menos uno y típicamente van a juntos y el hecho de que incluso estás preguntando-.
215,@grlsvapeitbettr Probably both,estj,@grlsvapeitbettr Probablemente ambos
216,@grlsvapeitbettr I went to speech therapy till I was fourteen and didn’t realize till I was nineteen that me having…,estj,@grlsvapeitbettr Fui a logopedia hasta los catorce años y no me di cuenta hasta los diecinueve de que yo teniendo...
217,@grlsvapeitbettr As your mutual it seems like you do 🤫,estj,@grlsvapeitbettr Como tu mutua parece que si 🤫
218,@grlsvapeitbettr You have a Robin pfp,estj,@grlsvapeitbettr Tienes un Robin pfp
219,@grlsvapeitbettr Because you have both so you attract others like you 🐒,estj,@grlsvapeitbettr Porque tienes las dos cosas así que atraes a otros como tú 🐒
220,@grlsvapeitbettr Yeah you probably got some diagnosis to go there-,estj,@grlsvapeitbettr Sí es probable que tengas algún diagnóstico para ir allí-.
221,@grlsvapeitbettr She’s so weird 😵‍💫,estj,@grlsvapeitbettr Ella es tan rara 😵‍💫
222,@tomoyo_pocoyo I try to forget,estj,@tomoyo_pocoyo Trato de olvidar
223,This is their chart btw 🫶🏻 https://t.co/EKBi32FFQQ,estj,Este es su gráfico 🫶🏻 https://t.co/EKBi32FFQQ
224,hatsune miku,estj,hatsune miku
225,@leoriolove Thank you!,estj,@leoriolove ¡Gracias!
226,@leoriolove Bisky :),estj,@leoriolove Bisky :)
227,@astrofleur08 Gorgeous 😍,estj,@astrofleur08 Precioso 😍
228,@kiIlunya It’s literally my favorite I use it all the time she’s so cute,estj,@kiIlunya Es literalmente mi favorito lo uso todo el tiempo ella es tan linda
229,@celestiablaire This is cluck! we’re both estjs :),estj,@celestiablaire ¡Esto es cluck! los dos somos estjs :)
230,@kiIIugoners They’re just like me fr,estj,@kiIIugoners Son como yo fr
231,🫶🏻,estj,🫶🏻
232,Hunter x hunter kin list leaked!,estj,¡Se filtra la lista de parientes de Hunter x Hunter!
233,@kiIIugoners Omg me too,estj,@kiIIugoners Omg yo también
234,@pianoballads Only if he’s driving you to therapy,estj,@pianoballads Solo si te lleva a terapia
235,@ykojuro Gorgeous 🤩,estj,@ykojuro Gorgeous 🤩
236,@solarprincessxo Just because it’s a thing doesn’t mean you should do it,estj,@solarprincessxo Que sea una cosa no significa que debas hacerlo.
237,One time bestie asked why I use the blonde emojis because I’m not blonde irl but she literally uses the yellow emoj…,estj,"Una vez mi mejor amiga me preguntó por qué usaba los emojis rubios porque no soy rubia en la vida real, pero ella usa literalmente el emojis amarillo..."
238,@solarprincessxo 👎🏻,estj,@solarprincessxo 👎🏻
239,Capricorn moon and rising,estj,Luna y ascendente de Capricornio
240,"This is my sisters kin list, can you tell she’s bisexual",estj,"Esta es la lista de parientes de mi hermana, ¿se nota que es bisexual?"
241,@celestiablaire I’ll join as terra and you can be blackfire,estj,@celestiablaire Me uniré como terra y tu puedes ser blackfire
242,@celestiablaire Her future girlfriends gay best friend,estj,@celestiablaire El mejor amigo gay de su futura novia
243,"My sister, her boyfriend and her girlfriend during next Halloween (me manifesting) https://t.co/9DhEkcfQUk",estj,"Mi hermana, su novio y su novia durante el próximo Halloween (yo manifestándome) https://t.co/9DhEkcfQUk"
244,@love4xielian Last October my sister said these were their top two costume options and she’d prefer bb&amp;r if he’d tu…,estj,@love4xielian En octubre pasado mi hermana dijo que estas eran sus dos mejores opciones de disfraces y que preferiría bb&amp;r si él tu...
245,Maybe this year my sister will have a boyfriend and a girlfriend and her gf can be starfire so it’ll be better,estj,Tal vez este año mi hermana tendrá un novio y una novia y su gf puede ser starfire por lo que será mejor
246,Biggest betrayal in my life was when my sister said her and her boyfriend were going to be raven and beast boy for…,estj,La mayor traición de mi vida fue cuando mi hermana dijo que ella y su novio iban a ser chico cuervo y chico bestia para...
247,@celestiablaire I actually don’t believe I have yet 🙊,estj,@celestiablaire De hecho creo que aún no lo he hecho 🙊.
248,Anyone can I’m sensitive,estj,Cualquiera puede Soy sensible
249,What every girl wants to hear 😍,estj,Lo que toda chica quiere oír 😍
250,Gorgeous absolutely stunning,estj,Precioso absolutamente impresionante
251,This would look so good on me,estj,Esto se vería tan bien en mí
252,I wish cutie marks were real :/,estj,Ojalá las marcas fueran reales :/
253,@TOKOM4RU You’re so correct,estj,@TOKOM4RU Tienes toda la razón
254,@solarprincessxo 6h venus,estj,@solarprincessxo 6h venus
255,@solarprincessxo I love the monkeys 🙉,estj,@solarprincessxo Me encantan los monos 🙉
256,@solarprincessxo Stunning,estj,@solarprincessxo Impresionante
