,text,label,translation
42,@dwaekkisgymbro LMFAOOO,isfj,@dwaekkisgymbro LMFAOOO
43,bang chan curly hair i can’t do this,isfj,bang chan pelo rizado no puedo hacer esto
44,OH FUCK WRONG ACCOUNT but it’s okay nothing personal lmao,isfj,OH FUCK WRONG ACCOUNT pero está bien nada personal lmao
45,i’m gonna miss vox’ stream i want to cry,isfj,voy a echar de menos el stream de vox quiero llorar
46,chan’s room and vox stream. on father’s day. i’m not okay,isfj,la habitación de chan y vox stream. en el día del padre. no estoy bien
47,CHAN’S ROOM,isfj,SALA CHAN
48,i forgot it was sunday,isfj,olvidé que era domingo
49,@skzgugma OH I DIDN’T RECOGNIZE THE PIC LMFAO THANKS 💀,isfj,@skzgugma OH YO NO RECONOCÍA LA PIC LMFAO GRACIAS 💀
50,@skzgugma WHERE IS YOUR PFP FROM?,isfj,@skzgugma DE DONDE ES TU PFP?
51,this photo screams home and family. just look at the stays behind the kids :'),isfj,esta foto grita hogar y familia. solo hay que ver las estancias detras de los niños :')
52,@gyeluvs @aliveforskz,isfj,@gyeluvs @aliveforskz
53,@325AVENUE HAHAHAHAHAHAHAHAHAHAAHAHAAHAHAHHAAHHAA,isfj,@325AVENUE JAJAJAJAJAJAJAJAJAJAJAJAJAJAAJAJAJAJAJAJAJAJAJAJAJAA
54,@325AVENUE ay ganon,isfj,@325AVENUE ay ganon
55,home,isfj,Inicio
56,@325AVENUE say please,isfj,@325AVENUE diga por favor
57,@325AVENUE LMAO,isfj,@325AVENUE LMAO
58,he’s so pretty,isfj,es tan bonito
59,9 (i think) hours left and their followers are barely moving 😊,isfj,Quedan 9 (creo) horas y sus seguidores apenas se mueven 😊
60,hello we wouldn’t want to lose 300 stars 😊,isfj,hola no queremos perder 300 estrellas 😊
61,it starts again…,isfj,empieza de nuevo...
62,@quokkawa @aliveforskz,isfj,@quokkawa @aliveforskz
63,@hwngllee @aliveforskz,isfj,@hwngllee @aliveforskz
64,@treslovingskz @aliveforskz,isfj,@treslovingskz @aliveforskz
65,@seung_luvsm .,isfj,@seung_luvsm .
66,@325AVENUE any,isfj,@325AVENUE cualquier
67,@GAINSACTIVESTAY 🍨,isfj,@GAINSACTIVESTAY 🍨
68,CHECK PINNEDDDDDDDDDDDDD,isfj,CHECK PINNEDDDDDDDDD
69,@VENOMMlN @???,isfj,@VENOMMlN @???
70,@lee_thought blockchains,isfj,@lee_thought blockchains
71,@niqhtxnqel @aliveforskz,isfj,@niqhtxnqel @aliveforskz
72,@skzstar35 3m ago,isfj,@skzstar35 hace 3m
73,happy pride month to you too changbin,isfj,feliz mes del orgullo para ti también changbin
74,i don’t do drugs but i play with fake tattoos for kids,isfj,no tomo drogas pero juego con tatuajes falsos para niños
75,i have 8 tattoos,isfj,tengo 8 tatuajes
76,i hate how you could see my skin close up so i placed some stickers lmfao,isfj,odio como se podía ver mi piel de cerca así que puse algunas pegatinas lmfao
77,chan taught him this,isfj,chan le enseñó esto
78,THEY’RE BACK LMAO,isfj,ESTÁN DE VUELTA LMAO
79,that’s not the right term (ig) but idk you get what i’m supposed to say 😭,isfj,que no es el término correcto (ig) pero idk usted consigue lo que se supone que debo decir 😭
80,the fastest ot8 live 💀,isfj,el ot8 más rápido en directo 💀
81,@skzgugma unofficial fandom color is red (i guess) but we don’t have an official fandom color yet. rainbow me thinks,isfj,"@skzgugma color fandom no oficial es de color rojo (supongo), pero no tenemos un color oficial fandom todavía. arco iris me piensa"
82,are they using jyp jpn wifi,isfj,¿están utilizando jyp jpn wifi
83,the live is lagging…,isfj,el directo se retrasa...
84,this is so hot,isfj,esto es tan caliente
85,ot8 live ft. echoes,isfj,ot8 live ft. echoes
86,if i have enough money i’m gonna buy thay croptop lia is wearing AAAAAAAAA,isfj,si tengo suficiente dinero me voy a comprar ese croptop que lleva lia AAAAAAAAAA
87,woahhhh CAN’T WAIT TO SEE THEM IN THE MALLS FILO MIDZYS WINNING,isfj,woahhhhh CAN'T WAIT TO SEE THEM IN THE MALLS FILO MIDZYS WINNING
88,@louminarie yes,isfj,@louminarie sí
89,@minxlf .,isfj,@minxlf .
90,lord,isfj,lord
91,check pinned,isfj,comprobar fijado
92,help rt to spread #plz 🫠,isfj,ayuda rt a difundir #plz 🫠
93,"💥 FAN N STAR DEAL 

FOR 300 ⭐

RULES:
— @VotesKPOPManila MUST reach 11.9K followers
— 10 HOURS ONLY!

@Stray_Kids…",isfj,"💥 FAN N STAR DEAL

POR 300 ⭐

REGLAS:
- @VotesKPOPManila DEBE alcanzar los 11.9K seguidores.
- ¡10 HORAS SOLAMENTE!

@Stray_Kids..."
94,aw :(,isfj,aw :(
95,OMG,isfj,OMG
96,@GAINSACTIVESTAY YESSS,isfj,@GAINSACTIVESTAY YESSS
97,@forest_fairy22 i believe that it’s homophobic to choose,isfj,@forest_fairy22 creo que es homofobico elegir
98,"“what’s your top ship in skz?” idk man, they’re all gay for each other.",isfj,"""¿cuál es tu mejor nave en skz?"" idk hombre, son todos gay para el otro."
99,@BANGCHARA426 the hottest,isfj,@BANGCHARA426 el más caliente
100,did the concert end or is it still on,isfj,¿terminó el concierto o sigue en pie?
101,felix chill he’s yours damn,isfj,felix chill es tuyo maldita sea
102,i’m desperate,isfj,i’m desperate
103,SKZKI NAGMAMAKAAWA AKO,isfj,SKZKI NAGMAMAKAAWA AKO
104,also i.n’s maknae on top 🙏 please skzki 🙏,isfj,también maknae de i.n en la parte superior 🙏 por favor skzki 🙏
105,skzki we love you 🙏 in skzki we trust 🙏 p l e a s e,isfj,skzki te queremos 🙏 en skzki confiamos 🙏 p l e a s e
106,skzki please PLEASE upload the fancam for hyunjin pwf 🙏 and han’s wish you back 🙏,isfj,skzki por favor POR FAVOR sube el fancam de hyunjin pwf 🙏 y el de han te deseo de vuelta 🙏
107,time to deactivate all my social media accounts 🫠,isfj,hora de desactivar todas mis cuentas de redes sociales 🫠
108,han performed wish you back live. the song itself is sad and what makes it more sad is that i’m not in the concert to witness this moment.,isfj,han interpretado wish you back en directo. la canción en sí es triste y lo que la hace más triste es que no estoy en el concierto para presenciar este momento.
109,@seungmallows someone who probably ran a blockchain and blocked almost every stay 😭,isfj,@seungmallows alguien que probablemente dirigía una blockchain y bloqueaba casi todas las quedadas 😭
110,it is only fair if i can block you too love xx,isfj,es justo si yo también puedo bloquearte amor xx
111,xx,isfj,xx
112,@hnjiqkka .,isfj,@hnjiqkka .
113,"@yuciphur fandom best friends doesn’t exist in the kpop industry, sadly",isfj,"@yuciphur fandom best friends no existe en la industria del kpop, tristemente."
114,@6CKVRMAN bro thank you for reminding me i completely forgot,isfj,@6CKVRMAN hermano gracias por recordarmelo lo olvide por completo
115,i’m doing everything i need to do to keep them safe and they’re both double boosted but they were still exposed to…,isfj,"estoy haciendo todo lo que tengo que hacer para mantenerlos a salvo y ambos son de doble impulso, pero todavía estaban expuestos a..."
116,i’m so scared i’m going to get my parents sick i woke up even worse,isfj,estoy tan asustado que voy a enfermar a mis padres me desperté aún peor
117,@notlwltlvpstr IT IS??,isfj,@notlwltlvpstr ¿¿ES???
118,shoutout to johnathan for being on the other end of this convo,isfj,un saludo a johnathan por estar al otro lado de esta conversación
119,does anyone else get this,isfj,¿a alguien más le pasa esto?
120,i’ve been outside to quarantine away from my parents and i have heard my neighbors get uber eats five times today,isfj,he salido a la cuarentena lejos de mis padres y he escuchado a mis vecinos comerse uber cinco veces hoy
121,i am very sick i’m taking a covid test in a bit,isfj,estoy muy enfermo voy a hacerme una prueba de covid en un rato
122,@notlwltlvpstr YUP it happens on both,isfj,@notlwltlvpstr YUP sucede en ambos.
123,i genuinely have panic attacks over this it’s a serious concern in my life 😭 i am seventeen years old bro why am i…,isfj,"me gustaria saber si hay alguna persona que me pueda ayudar con este tema, ya que es un tema muy serio en mi vida 😭 tengo 17 años hermano por que me..."
124,mortality stresses me out because who will take care of my stuffed animals with the same care that i do after i’m dead,isfj,la mortalidad me estresa porque ¿quién cuidará de mis peluches con el mismo mimo que yo cuando muera?
125,i never see my friends on the tl i just see a bunch of those stupid “deep” quote accounts,isfj,"nunca veo a mis amigos en el tl solo veo un monton de esas estupidas cuentas de citas ""profundas""."
126,@katsukifangs oh my god it’s so good ive never met anyone else who watched it,isfj,@katsukifangs oh my god it's so good ive never met anyone else who watched it
127,@Karbify me too :’) i really don’t want to expose my parents,isfj,@Karbify yo también :') realmente no quiero exponer a mis padres
128,"he didn’t wear a mask at all when we went out while i did, the only times i didn’t wear a mask were in the hotel ro…",isfj,"el no usaba mascara cuando saliamos mientras que yo si, las unicas veces que yo no usaba mascara era en la ro..."
129,"i’m just praying that the fact that i wore a mask most of the time while he didn’t will keep me safe, i don’t know…",isfj,"Sólo estoy rezando para que el hecho de que yo llevaba una máscara de la mayor parte del tiempo, mientras que no me mantendrá a salvo, no sé ..."
130,my uncle who i stayed with for two days has covid,isfj,mi tío con el que me quedé dos días tiene covid
131,"today i realized i really like screaming, apparently",isfj,"hoy me di cuenta de que realmente me gusta gritar, al parecer"
132,very very amazing concert literally best night ever but i’m dead on my feet so ill talk about it later 😁,isfj,muy muy increible concierto literalmente la mejor noche de mi vida pero estoy muerta de cansancio asi que hablare de ello mas tarde 😁
133,I WAS LITERALLY SHAKING IT WAS SO EMBARASSING,isfj,YO ESTABA LITERALMENTE TEMBLANDO ERA TAN EMBARAZOSO
134,everything else was awesome but that part was so cjwjejcjanej 👎,isfj,"todo lo demás era impresionante, pero esa parte era tan cjwjejcjanej 👎"
135,nah because i HATE being touched so being pat down by airport security was literally so. no. terrible. literally to…,isfj,nah porque ODIO que me toquen así que ser palmadita abajo por la seguridad del aeropuerto era literalmente tan. no. terrible. literalmente a...
136,going to a concert with my friend today wooo,isfj,ir a un concierto con mi amigo hoy wooo
137,i miss my cat,isfj,echo de menos a mi gato
138,"favorite equations are 5 x 5, 7 x 7, 6 x 7, 12 x 12, and 16 x 2 they just feel nice",isfj,"ecuaciones favoritas son 5 x 5, 7 x 7, 6 x 7, 12 x 12, y 16 x 2 simplemente se sienten bien"
139,"@ka1ussy i don’t know if this will send because my wifi but here, i tried turning them in a bunch of different posi…",isfj,"@ka1ussy no se si esto enviará porque mi wifi pero aquí, traté de convertirlos en un montón de diferentes posi..."
140,dude i’m at this hotel and i can’t figure out how to turn the shower on and ill feel dumb if i ask my uncle for help,isfj,amigo estoy en este hotel y no puedo averiguar como encender la ducha y me sentiria tonto si le pido ayuda a mi tio
141,on my way to the airport,isfj,de camino al aeropuerto
142,bro i cant sleep and i have to wake up at like six am,isfj,hermano no puedo dormir y tengo que despertarme como a las seis de la mañana
143,watch me accidentally leave my bag at home i swear thats something i’d do,isfj,mirame dejar accidentalmente mi bolso en casa te juro que eso es algo que yo haria
144,i think im fully packed but i still feel like im forgetting something i know im gonna get on the plane and realize…,isfj,"Creo que he hecho el equipaje completo, pero sigo teniendo la sensación de que se me olvida algo, sé que voy a subir al avión y me daré cuenta..."
145,i read the whole time on the train that made me feel all cool and aesthetic,isfj,leí todo el tiempo en el tren que me hizo sentir todo fresco y estético
146,these people behind me are so loud and drunk,isfj,estas personas detrás de mí son tan ruidoso y borracho
147,im on the train,isfj,estoy en el tren
148,I HAVENT even packed yet and i cant until sunday because tomorrow im going to a party and i wont get home until like nine pm,isfj,Yo ni siquiera he empacado todavía y no puedo hasta el domingo porque mañana me voy a una fiesta y no llegar a casa hasta como nueve pm
149,bro on monday im going on a plane for the first time since i was literally under a year old im so nervous 😭 i know…,isfj,"el lunes me subo a un avion por primera vez desde que tenia menos de un año, estoy muy nervioso 😭 lo se..."
150,@ItbelikethatD WHAT,isfj,@ItbelikethatD QUE
151,@lovelypjmie WAIT ILL TEXT YOU ITS NOT SOMEONE FROM TWILIGHT,isfj,@lovelypjmie WAIT ILL TEXT YOU ARE NOT SOMEONE FROM TWILIGHT
152,@avalxnn NO.,isfj,@avalxnn NO.
153,dear god i keep having dreams about dating vampires what is wrong with me,isfj,"Dios mío, sigo soñando que salgo con vampiros, ¿qué me pasa?"
154,@notlwltlvpstr this song &gt;&gt;&gt;,isfj,@notlwltlvpstr esta canción &gt;&gt;&gt;
155,@avalxnn YEAH,isfj,@avalxnn YEAH
156,guys what do you do in the pool im going to one and i haven’t been in five years. like do you just stand in the wat…,isfj,me gustaria saber si hay alguna persona que se dedique a la jardineria o que se dedique a la jardineria....
157,i dunno bro i’ve got such a good balance in my life right now and i’m in a better place than i’ve been in years,isfj,"No lo sé hermano, tengo un buen equilibrio en mi vida ahora mismo y estoy en un lugar mejor de lo que he estado en años."
158,having a good social life has made me less active on twitter 💀 ill be less ia,isfj,tener una buena vida social me ha hecho ser menos activo en twitter 💀 seré menos ia
159,😮 https://t.co/jfkzEfgxoU,isfj,😮 https://t.co/jfkzEfgxoU
160,next week is gonna be simultaneously the best and busiest week of my life,isfj,la semana que viene va a ser a la vez la mejor y más ajetreada de mi vida
161,@hawksgf_real it’s the WORST,isfj,@hawksgf_real es lo PEOR
162,all these strange coincidences keep happening where me and my friend say the same stuff at the same time and stuff it’s actually really fun,isfj,todas estas extrañas coincidencias siguen sucediendo donde yo y mi amigo decir lo mismo al mismo tiempo y esas cosas es realmente muy divertido
163,blocking toxic people is a therapeutic experience 😭,isfj,bloquear a la gente tóxica es una experiencia terapéutica 😭
164,this is inspired by my mom letting me vent about the same situations everyday for months 💀 and my dad tries to help in his own weird ways,isfj,esto está inspirado en que mi mamá me deja desahogarme sobre las mismas situaciones todos los días durante meses 💀 y mi papá trata de ayudar a su manera extraña
165,it took me awhile to realize but my parents really are my best friends and i say this in the most positive way that i can,isfj,me ha costado darme cuenta pero mis padres son realmente mis mejores amigos y lo digo de la manera más positiva que puedo
166,Are turtlenecks cool…. i’m hopeless,isfj,Los jerseys de cuello alto son geniales.... no tengo remedio
167,what should i wear tomorrow… i need to look cool in front of her,isfj,que me pongo mañana... necesito estar guay delante de ella
168,@john_is_da_bom if you say instagram our friendship is over,isfj,@john_is_da_bom si dices instagram se acabó nuestra amistad
169,i am so stressed out my head fucking hurts,isfj,estoy tan estresado que me duele la puta cabeza
170,@Karbify good luck 😭😭 is it far from where you live,isfj,@Karbify buena suerte 😭😭 está lejos de donde vives
171,i’m hanging out with my friend at 11 am tomorrow i’m gonna be so tired i never see people that early 😭,isfj,voy a salir con mi amigo mañana a las 11 am voy a estar tan cansado nunca veo a la gente tan temprano 😭
172,i love writing my friends letters with absolutely no warning i just wrote like three,isfj,me encanta escribir cartas a mis amigos sin previo aviso acabo de escribir como tres
173,@LUVAIURA HUHH,isfj,@LUVAIURA HUHH
174,i spilled yogurt on my new shirt.,isfj,derramé yogur en mi camisa nueva.
175,@kriprnzluvr @sushibins oh i hate that 😭,isfj,@kriprnzluvr @sushibins oh odio eso 😭
176,@nuttycakes02 i would never lie to you mon amour,isfj,@nuttycakes02 nunca te mentiría mon amour
177,@nastyoldtree dont worry its not any main characters 😭,isfj,@nastyoldtree no te preocupes no es ningún personaje principal 😭
178,@kriprnzluvr what does it look like mine is normal,isfj,@kriprnzluvr que parece el mio es normal
179,this is what ive been saying,isfj,esto es lo que he estado diciendo
180,SORRY THEYRE GLUED TO MY SKIN,isfj,LO SIENTO ESTÁN PEGADOS A MI PIEL
181,@nastyoldtree well uh you see,isfj,@nastyoldtree bueno uh ya ves
182,@A1ZAWA_ he did??,isfj,@A1ZAWA_ ¿Él lo hizo?
183,it feels so weird to get in the car and drive to the store by myself but here we are,isfj,"se siente tan raro para entrar en el coche y conducir a la tienda por mí mismo, pero aquí estamos"
184,june is gonna be such a good month i have so many plans made,isfj,junio va a ser un mes muy bueno tengo tantos planes hechos
185,"but warm foods are good when combined with cold foods, like brownies and ice cream and stuff like that",isfj,"pero los alimentos calientes son buenos cuando se combinan con alimentos fríos, como brownies y helados y cosas por el estilo"
186,cold/soft foods are so many better than hard/warm foods,isfj,los alimentos fríos/blandos son mucho mejores que los duros/calientes
187,@PrivKarb2 eddie,isfj,@PrivKarb2 eddie
188,my social life is in the exact place ive wanted it to be for awhile,isfj,mi vida social está en el lugar exacto en el que quería estar desde hace tiempo
189,@A1ZAWA_ oh my god,isfj,@A1ZAWA_ oh my god
190,the bar is in hell!,isfj,¡el bar está en el infierno!
191,when she doesn’t ignore me and treats me with the most basic level of human kindness,isfj,cuando no me ignora y me trata con el nivel más básico de amabilidad humana
192,@notlwltlvpstr HAPPY BIRTHDAY,isfj,@notlwltlvpstr FELIZ CUMPLEAÑOS
193,I FJNISHED. STRANGER THJNGS. I FINISHED. OH MY GOD,isfj,FJNISHED. COSAS EXTRAÑAS. TERMINÉ. MI DIOS
194,ive gone through three packs of yogurt in the past week,isfj,he gastado tres paquetes de yogur en la última semana
195,@Karbify karbster!,isfj,¡Karbify karbster!
196,today has been a very good day and its still the morning,isfj,hoy ha sido un dia muy bueno y aun es de mañana
197,with her,isfj,con ella
198,it was kind of on accident but i used the same wording that people use to ask people on dates. and i dont mind eith…,isfj,me gustaria saber si hay alguna persona que me pueda ayudar con el tema de la salud en el trabajo...
199,i may have just? a little bit? asked someone on a date?,isfj,puede que haya... un poco... pedido una cita a alguien...
200,good morning mes amis i studied so much this weekend,isfj,buenos dias mes amis he estudiado mucho este fin de semana
201,@PrivKarb2 boyfriend pussy grindr 💀 help,isfj,@PrivKarb2 novio coño grindr 💀 ayuda
202,i was having trouble putting my bracelet on so my friend put it on me for me and yeah im never taking it off again,isfj,me estaba costando ponerme la pulsera asi que mi amiga me la puso por mi y si nunca mas me la quitare
203,this shit is so fucking good. oh my god. OH MY GOD.,isfj,esta mierda es tan jodidamente buena. oh dios mio. OH DIOS MIO.
204,HOLY FUCK I LOVE MAX IM BAWLING MY FUCKING EYES OUT. HOLY SHIT. WHEN SHE WAS RUNNING MY BRAIN WAS JUST !!!!!,isfj,"JODER, AMO A MAX, ESTOY LLORANDO A MARES. MIERDA. ¡¡¡¡¡CUANDO ELLA ESTABA CORRIENDO MI CEREBRO ERA SÓLO !!!!!"
205,CAN I TELL SOMEONE ABOUT MY NEW FRIENDS,isfj,¿PUEDO HABLARLE A ALGUIEN DE MIS NUEVOS AMIGOS?
206,@Karbify 😭,isfj,@Karbify 😭
207,i made so many new friends :D,isfj,he hecho muchos amigos nuevos :D
208,pulling out the shitty self made binder from when i was fifteen for this shit 😎,isfj,sacando la carpeta de mierda hecha por mi mismo de cuando tenía quince años para esta mierda 😎
209,MY LICENSE CAME IN THE MAIL,isfj,MI LICENCIA LLEGÓ EN EL CORREO
210,"i have the event today im excited but really nervous because i dont know a single person there, i know one of the a…",isfj,"El evento es hoy, estoy emocionada pero muy nerviosa porque no conozco a nadie, conozco a uno de los a..."
211,@basedinwhen I DIDNT EXPECT THAT AT ALL,isfj,@basedinwhen NO ME ESPERABA ESO EN ABSOLUTO
212,holy shit they stepped their game up im gonna have nightmares tonight 😭,isfj,mierda santa que intensificó su juego im va a tener pesadillas esta noche 😭
213,oh,isfj,oh
214,im almost done with the first episode if stranger things s4 wnd this is GOOD i like eddie hes funny i like chrissy too,isfj,casi he terminado con el primer episodio si stranger things s4 wnd esto es BUENO me gusta eddie hes divertido me gusta chrissy también
215,@lovelypjmie ???,isfj,#lovelypjmie #
216,@PrivKarb2,isfj,@PrivKarb2
217,@PrivKarb2 karbster…,isfj,@PrivKarb2 karbster...
218,@PrivKarb2 😺,isfj,@PrivKarb2 😺
219,he’s so precious,isfj,es tan precioso
220,my cat i love him so much oh my god,isfj,mi gato lo amo tanto oh dios mio
221,@PrivKarb2 no you aren’t,isfj,@PrivKarb2 no lo eres
222,what the fuck,isfj,¿Qué carajo?
223,didn’t mention the weight shit but it’s better than nothing i just don’t know what i should say or if i should forgive him,isfj,no menciono la mierda del peso pero es mejor que nada solo que no se que debo decir o si debo perdonarlo
224,the guy i told you guys about awhile back apologized 😭 he said he realized he overly romanticized our relationship…,isfj,el chico del que os hablé hace un tiempo se disculpó 😭 dijo que se había dado cuenta de que había idealizado demasiado nuestra relación...
225,how do we go about this 🫠,isfj,¿cómo lo hacemos?
226,@iluvtouya4 I KINDA SEE IT,isfj,@iluvtouya4 KINDA SEE IT
227,@dabisnipe actually not the weirdest but very random 😭,isfj,@dabisnipe en realidad no es el más raro pero si muy random 😭
228,@dabisnipe jirou and tokoyami would be the weirdest ship,isfj,@dabisnipe jirou y tokoyami seria la nave mas rara
229,"@nuttycakes02 yes, you are.",isfj,"@nuttycakes02 sí, lo eres."
230,i love mon mari so much i think i should remind everyone of that more often,isfj,quiero tanto a mon mari que creo que deberia recordarselo a todo el mundo mas a menudo
231,@Karbify IM GONNA GO TO THE STORE LATER AND SEE IF I CAN FIND SOME,isfj,@Karbify YO VOY A IR A LA TIENDA MÁS TARDE Y VER SI PUEDO ENCONTRAR ALGUNOS
232,i wonder what chocolate yogurt is like,isfj,me pregunto cómo será el yogur de chocolate
233,i just love it especially strawberry and vanilla,isfj,me encanta sobre todo fresa y vainilla
234,i used to hate yogurt and now i could eat it for every meal and be happy,isfj,antes odiaba el yogur y ahora podría comerlo en todas las comidas y ser feliz
235,truthfully,isfj,la verdad
236,i did it,isfj,lo hice
237,ufghhhh do i lie or not,isfj,ufghhh miento o no
238,if i see that stupid video where they make the woman’s hand “grow” again ill actually lose my mind,isfj,"si vuelvo a ver ese estupido video en el que hacen ""crecer"" la mano de la mujer perderé la cabeza"
239,@Karbify so true,isfj,@Karbify tan cierto
240,aaaaahhhhhh,isfj,aaaaahhhhhhhh
241,my friend has been ignoring me for almost two months and i already know the second she texts me im gonna have her contact open,isfj,mi amiga lleva casi dos meses ignorandome y ya se que en cuanto me mande un mensaje voy a tener su contacto abierto
242,i’ll be ignored for a month and still text back in a solid five seconds 😭 i always plan how i’ll ignore them back a…,isfj,me han ignorado durante un mes y aún así les contesto en cinco segundos 😭 siempre planeo cómo les voy a ignorar a...
243,my cat knows when i’m upset i’m telling y’all,isfj,mi gato sabe cuando estoy enfadado os lo digo a todos
244,they’re all super sweet i’m just worried they’ll accidentally slip up in front of my parents,isfj,"Son todos muy dulces, sólo me preocupa que accidentalmente se escapen delante de mis padres."
245,i need to rsvp for this event and the only reason i haven’t yet is because they ask for our pronouns and i’m trying…,isfj,me gustaria saber si hay alguna persona que me pueda ayudar en mi trabajo o no...
246,@manemandibeban HAHAH NO BECAUSE SHE THOUGHT I WAS TALKING ABOUT YOU,isfj,@manemandibeban HAHAH NO PORQUE PIENSABA QUE HABLABA DE TI
247,i tell my mom every detail of all of my relationships and there’s so many different places the only people she can…,isfj,le cuento a mi madre cada detalle de todas mis relaciones y hay tantos lugares diferentes que las únicas personas que...
248,"me: “i was talking to my friend from florida“
mom: “the one that ghosted you?”
me: “no that’s a different person th…",isfj,"yo: ""estaba hablando con mi amigo de florida""
Mamá: ""¿La que te hizo ghosting?""
me: ""no, esa es otra persona..."
249,@Axselotl i’m sorry i don’t know what happened 😭😭,isfj,@Axselotl lo siento no se que paso 😭😭😭
250,"@Karbify are you secretly beam ?!??!?!!??!,!",isfj,"@Karbify ¿¡¿¿¿¿¿¿¿¿¿¿¿¿¿?????????,!"
251,@mgtetc2 how was it??,isfj,@mgtetc2 ¿cómo fue?
252,@notlwltlvpstr fuck yeah,isfj,@notlwltlvpstr fuck yeah
253,give me some cool songs and i’ll put them in my car playlist,isfj,dame canciones chulas y las pondré en la lista de reproducción de mi coche
254,@dabisnipe,isfj,@dabisnipe
255,@dabisnipe i was looking for cow gifs for you and this is literally traumatizing i’m so sorry,isfj,@dabisnipe estaba buscando gifs de vacas para ti y esto es literalmente traumatizante lo siento mucho
256,why does twitter say casse toi means break up hello,isfj,¿por qué twitter dice casse toi significa romper hola
257,casse toi mon amour je ne t’aime pas toi,isfj,rompe mi amor no te quiero tu
258,@manemandibepar1 it updated so all your old dms count as a notif now,isfj,@manemandibepar1 se actualizó por lo que todos sus viejos dms cuentan como una notificación ahora
259,@john_is_da_bom i can’t believe you didn’t know that..,isfj,@john_is_da_bom no puedo creer que no lo supieras..
260,@john_is_da_bom you must email mark zuckerberg,isfj,@john_is_da_bom debes enviar un email a mark zuckerberg
261,@manemandibeban go ahead,isfj,@manemandibeban adelante
262,@notlwltlvpstr absolutley,isfj,@notlwltlvpstr absolutamente
